Years_elapsed,count,mean,std,min,25%,50%,75%,max
1,50.0,8.36578528846677,13.232541173360682,-26.271277652942572,1.7067075477139697,9.590723654600385,17.71969670311153,33.66741765453158
2,49.0,17.61051741041015,22.05624898017552,-36.85606450467283,10.993442557202188,18.52716722577494,27.003371676860166,60.488615874552174
3,48.0,27.510731437366527,30.3435648097505,-33.76442767600077,12.38210553240939,29.467566285615852,43.569642325836995,99.74663783885043
4,47.0,38.42027191706839,39.79616082711575,-27.620814676434996,10.439030289144721,40.24289464598893,58.20636655717916,145.50965133432717
5,46.0,50.81514787221879,48.83406914687683,-17.33668750934664,11.051497985965636,50.57051346920041,77.48795703273302,184.14156689087983
6,45.0,63.9000529975567,54.90109062434729,-11.954634168830948,10.72304696391089,61.65079370571752,101.45190175677985,210.49682831337816
7,44.0,78.10468377471477,62.44764800617302,-7.959067933250466,18.377909211430072,76.07046932903991,119.0192471048808,217.6153143862529
8,43.0,94.00808160538443,71.28601020101078,-22.466537603706364,34.708390041062685,87.00918427521297,147.84771094577994,250.1568549742731
9,42.0,111.3573356164235,80.39447590092146,-35.02873315752847,44.004397373721936,108.26096110624475,161.291369935157,291.66463284040015
10,41.0,129.80215660970057,89.34346108939744,-29.00238952424432,65.22140398777138,125.6823060171562,188.09759388351702,327.9930866509605
11,40.0,149.37442662223933,100.56294121691826,-14.496807397224396,70.0643527965361,147.0443341974839,228.6019910605483,393.6323945297664
12,39.0,169.38299692855895,113.2683566619283,-4.158568858331215,87.75781519578321,167.18248115826322,250.1550709189549,439.4187641440441
13,38.0,194.2560982053072,128.25766030475924,4.73110539976527,105.2291964538854,189.65558279420827,277.87497925914323,475.46525747695085
14,37.0,222.49687596178345,150.00239160355082,23.483529577833774,106.63011115031178,214.018689714641,293.35024731366195,607.3073982460087
15,36.0,254.31946500457929,175.37769316668647,43.429370430799516,136.33711322159732,250.19838905946168,329.1188531892038,718.4954071144186
16,35.0,288.39359496988254,199.3940602885558,45.859236622032704,143.87866089430705,232.31136619742986,348.1681324992326,798.0600649920342
17,34.0,323.71541977219675,224.3052895873064,59.38826144625353,160.97824546008667,268.82232086430247,382.24875858797833,1003.8103860919854
18,33.0,359.6143615911925,250.63307223390808,85.77120337153099,189.96668899106265,277.1563124156376,428.3165880664342,1106.1931933828848
19,32.0,400.60111434723444,269.0960176056171,101.14950086467138,207.36833478196007,289.62446155341456,496.1877289986295,1017.6715560861901
20,31.0,446.20502000358914,289.4742904553785,117.46957357620163,238.62253451150073,317.7128444726292,550.2325165635501,1180.7717052274968
21,30.0,498.83626140220196,307.3826335715697,137.64074221497077,284.5671946979705,343.73099241526717,671.9863700431507,1299.5683793050096
22,29.0,556.4200860660819,319.61271449977676,192.08549588252717,325.2977516866193,393.4105123702129,714.9663014910612,1399.8359282273266
23,28.0,613.9325239878001,320.19292405615334,263.5341699851955,380.34834531474314,435.0779691086599,837.2104749965747,1354.0264311217152
24,27.0,672.2762308095354,318.8750656876129,348.90144858148784,428.3169304429525,497.45578518891904,847.3742026524305,1435.582959860179
25,26.0,734.9396559198206,321.63435372635485,380.847312154422,502.74392854235623,562.0452422630775,922.9301079943095,1578.0143921419294
26,25.0,794.3867002705605,297.48792760222943,466.94449147841726,550.4906031736136,699.126950284821,1012.8524930354196,1607.286834027081
27,24.0,849.2278374303339,255.56971495933064,552.7684174891278,622.2189947561702,764.3169933501392,1090.4888535098057,1330.6672892182676
28,23.0,909.1832624224332,240.87652807419806,619.6013919460972,697.095743343491,843.7931203896716,1114.1566954035095,1340.0706880685382
29,22.0,970.3512908289342,250.17487351604828,631.7923057610454,766.0208753805082,925.2552405730572,1119.7601877108816,1476.234497035166
30,21.0,1022.1254006121834,238.14118508058993,752.9231451909546,830.754740475467,937.9457433685815,1177.1110966121325,1622.436521213049
