Years_elapsed,count,mean,std,min,25%,50%,75%,max
1,50.0,8.826742640233968,15.605453043106849,-39.943769726215336,0.3499087351706588,11.328963850277388,20.18457806505472,33.47370741924815
2,49.0,18.4331535874633,24.020676785998692,-40.173137910345424,6.505533019004921,18.855619825337417,33.534396416875786,66.90993275272847
3,48.0,27.845797269368887,30.393885185087484,-32.58670468208884,9.05830081126076,32.67283441659823,41.322514348629745,110.64932201521331
4,47.0,39.438341330941014,39.857392944727074,-24.295012694031247,13.00444508278864,40.75349905347112,62.12468523416297,156.56046742365783
5,46.0,52.65871262294299,49.008985021075965,-18.71946515813834,5.631915019263217,54.04978365561717,84.17944965198475,206.2308455517584
6,45.0,65.84458066042156,55.50168234403808,-18.565183851889945,10.779505374099967,74.02507541999944,97.02190152082129,200.67542701275082
7,44.0,80.48257941759654,62.799452354960195,-22.01412962394138,21.484058245095937,83.18374244548436,122.20605756709747,221.99142227889186
8,43.0,97.15718353373937,71.85140673682878,-32.422525571314495,31.31444453296345,98.51002865329515,147.13419105685816,270.26738823278504
9,42.0,115.13614211069165,81.59183004559378,-36.02105248000231,48.70143036658276,128.82793049181132,163.82105882591802,331.03063029513083
10,41.0,133.80808372729865,91.37974762153613,-23.634660502049627,66.70374875948393,129.3125533731853,196.88167787890782,325.17904121601873
11,40.0,154.08336651199534,106.23745073306388,-14.566098595301364,77.1128800315481,151.85644174038114,235.38252019642823,407.49415375621163
12,39.0,176.13226276796047,120.84820784319987,-10.223844597562117,92.14010714049051,170.4911999653627,255.19635982233666,503.03490795415087
13,38.0,197.3452450228409,133.65447822420913,1.974929981064276,95.07253153182053,194.81174154915797,254.17178120712634,484.05673065166883
14,37.0,225.25026436375248,153.11010825687404,21.717384391945874,113.61103968458043,215.60235063663077,295.56047664241277,611.3522435505563
15,36.0,257.2479949432546,174.61589544218177,48.24576093782708,123.2376233385468,241.12801863012177,336.8219027703222,749.0707910502507
16,35.0,289.8851686924213,193.55584129187633,49.96868047605674,136.2335887081449,261.1109505505621,369.50918377163737,739.8022517321017
17,34.0,324.67300244059476,216.06117954719414,58.409832170551,155.2866859223212,270.5231774125268,401.7917890635322,902.3888568129331
18,33.0,363.872900569786,238.4698549555603,89.07814339609669,175.90942998815217,291.4327454867996,472.38659982882984,999.256034823902
19,32.0,405.4467479419305,261.23702538538424,100.9129461232189,204.259171030282,324.2166551572529,517.8177600551587,996.1096458176339
20,31.0,450.2634795876081,286.82392127535485,126.35375942285675,230.38117663917305,355.46907727924156,569.6176248996378,1208.3176337603618
